47.29.201.179 - - [28/Feb/2019:13:17:10 +0000] "GET /?p=1 HTTP/2.0" 200 5316 "https://domain1.com/?p=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36" "2.75"
192.168.1.100 - - [28/Feb/2019:13:18:15 +0000] "POST /api/login HTTP/1.1" 200 1234 "https://domain1.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "1.23"
10.0.0.50 - - [01/Mar/2019:13:19:20 +0000] "GET /images/logo.png HTTP/1.1" 404 0 "http://domain2.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36" "0.45"
203.0.113.45 - - [01/Mar/2019:09:30:45 +0000] "GET /admin/dashboard HTTP/1.1" 500 2048 "https://domain1.com/admin" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:65.0) Gecko/20100101 Firefox/65.0" "5.67"
198.51.100.25 - - [02/Mar/2019:14:22:33 +0000] "GET /api/users HTTP/2.0" 201 8192 "https://domain1.com/api" "curl/7.58.0" "0.89"
10.0.0.50 - - [30/Feb/2019:07:35:53 +0000] "POST /images/logo.png HTTP/1.1" 500 3425 "https://domain1.com/" "Mozilla/5.0 (Test)" "3.36"
203.0.113.45 - - [31/Feb/2019:23:02:06 +0000] "GET /api/users HTTP/1.1" 502 4992 "http://domain2.com/" "Mozilla/5.0 (Test)" "6.48"
10.0.0.50 - - [06/Mar/2019:11:22:29 +0000] "PUT / HTTP/1.1" 301 160 "-" "Mozilla/5.0 (Test)" "6.97"
198.51.100.25 - - [01/Mar/2019:02:52:29 +0000] "HEAD /search HTTP/1.1" 201 4118 "https://domain1.com/" "Mozilla/5.0 (Test)" "9.57"
198.51.100.25 - - [30/Feb/2019:15:43:54 +0000] "GET /api/users HTTP/1.1" 502 273 "https://domain1.com/login" "Mozilla/5.0 (Test)" "6.75"
203.0.113.45 - - [02/Mar/2019:03:24:40 +0000] "POST /search HTTP/1.1" 502 5416 "https://domain1.com/login" "Mozilla/5.0 (Test)" "9.06"
10.0.0.50 - - [30/Feb/2019:09:25:12 +0000] "PUT /profile HTTP/1.1" 200 2257 "https://domain1.com/login" "Mozilla/5.0 (Test)" "4.57"
10.0.0.50 - - [29/Mar/2019:15:15:06 +0000] "POST /api/login HTTP/1.1" 301 2843 "https://domain1.com/login" "Mozilla/5.0 (Test)" "3.34"
47.29.201.179 - - [28/Feb/2019:15:47:15 +0000] "POST /admin/dashboard HTTP/1.1" 301 4960 "-" "Mozilla/5.0 (Test)" "6.92"
198.51.100.25 - - [29/Feb/2019:00:20:58 +0000] "DELETE /api/users HTTP/1.1" 200 2523 "http://domain2.com/" "Mozilla/5.0 (Test)" "7.19"
198.51.100.25 - - [28/Feb/2019:19:08:45 +0000] "PUT / HTTP/1.1" 200 628 "https://domain1.com/login" "Mozilla/5.0 (Test)" "3.66"
10.0.0.50 - - [28/Mar/2019:15:03:23 +0000] "PUT /api/login HTTP/1.1" 404 9050 "-" "Mozilla/5.0 (Test)" "9.66"
